"","RPPA-Post-Acc09","RPPA-Post-Acc11","RPPA-Post-Acc12","RPPA-Post-Acc13","RPPA-Post-Acc18","RPPA-Pre-Acc02","RPPA-Pre-Acc11","RPPA-Pre-Acc12","RPPA-Pre-Acc13","RPPA-Pre-Acc18"
"RRM2-R-C",1.5,0.00731209873244205,0.581554804047265,-0.16915009011848,0.298666677784533,-0.247119976330399,-0.734520993052402,-0.684035848641774,-0.713427518081259,-0.841084596363225
"TAZ-R-V",0.250957685515696,-0.184046580997586,0.186872106955672,1.5,1.11534252900795,-0.284970566289418,-0.768636668747492,-1.5,-0.00464296416353977,-0.681840313246084
"Hif-1-alpha-R-C",0.654496838441644,1.5,0.973840152603251,-0.049755535026986,-0.630025254827144,-0.881129673957098,-1.04969752481067,-0.702733705517205,0.245541692313942,-0.65057049626929
"HER2_pY1248-R-V",1.5,-0.125959156259544,0.316989152357031,-0.205997613664214,0.147900733375654,-1.47395237077904,-0.251944244905196,-0.452586820838402,-0.0106619153163907,-0.432095605030969
"p53-R-C",1.5,0.981172142839803,0.807446105431181,0.133018839731417,0.169166415181578,-1.5,-0.782661948450533,-0.454319063532865,0.0809212549699136,-0.621389632080294
"Rab11-R-C",0.448707358629005,-0.473634946746731,0.27752319779032,0.143782486259838,1.5,0.161602013202247,-0.933881458993758,-0.534311109267506,-0.55428513820799,-0.987241291812739
"MMP2-R-V",0.586361566360215,0.34694156264015,-0.329965496207058,0.410038790347757,1.5,-0.928981454265674,-0.619513820524363,-0.968159979039198,-0.527255966350043,-0.35132148096963
"PDH-M-V",0.24050159947351,-0.642870023398176,-0.335627760012093,-1.5,-0.864949114821329,1.5,-0.36673286518961,0.860331794160181,1.07499377135196,0.294593076683393
"CD74-M-V",-0.0814909030877246,0.341260896578063,0.150440613457997,-0.413728250059434,-1.5,0.454342940682728,0.751564256606056,0.279569637734407,0.289507467697352,0.87221997322985
"BiP-GRP78-M-C",-0.842770559801109,0.202191420249222,0.396858699688871,-0.068413946990766,-1.5,0.619289529008968,-0.0635717351596882,0.763772838984079,0.80531452550159,0.646782467764493
"Slfn11-G-C",-0.871536322519282,0.233237585384238,0.333758951140978,-0.442947944723687,-1.5,1.5,0.372310358568119,0.356926230038045,0.720642457841772,-0.165103924762394
"NQO1-M-V",-1.38281132589049,-0.333169875199651,-0.986129504019456,-0.828961554161723,-0.330299936078252,0.933132587676311,-0.328244439139952,0.919316157784438,0.597049142524023,1.5
"Src_pY527-R-V",-1.5,0.0506843909902062,-0.36115762655575,-0.0469178143579681,-1.41611701449533,1.17956659330352,0.391573534150373,1.40020806180791,0.077656822473474,0.48800482321087
"14-3-3-zeta-R-V",-1.35758412639634,-0.0495827380916757,0.179711121003939,-0.0258778433864919,-1.5,1.5,0.307702311876263,0.647536948506583,0.532881226342046,0.247613569140646
"p38-MAPK-_pT180_Y182-R-V",-0.374225099991298,0.01771262212228,-0.171972784331127,-0.333604709383819,-1.5,0.242511224183521,0.175134980169633,0.75593936726402,-0.2294777868169,1.5
